id_laporan;nama_skpd;kategori;rincian_masalah;status;tanggal_masuk;tanggal_selesai;selisih_hari
QL001247085;KELURAHAN PAL MERAH;Sampah;Sampah Lingkungan;complete;27/03/2019;27/03/2019;0
QL001247074;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;27/03/2019;27/03/2019;0
QL001247073;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;27/03/2019;27/03/2019;0
QL001247072;KELURAHAN KEMANGGISAN;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;27/03/2019;27/03/2019;0
QL001247061;KELURAHAN GROGOL;Sampah;Sampah Trotoar;complete;27/03/2019;27/03/2019;0
QL001247060;KELURAHAN GROGOL;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;27/03/2019;27/03/2019;0
QL001247028;KELURAHAN CENGKARENG TIMUR;Sampah;Sampah Got;complete;27/03/2019;27/03/2019;0
QL001247057;KELURAHAN TANJUNG DUREN SELATAN;Sampah;Sampah Trotoar;complete;27/03/2019;27/03/2019;0
QL001247054;KELURAHAN TANJUNG DUREN SELATAN;Sampah;Sampah Trotoar;complete;27/03/2019;27/03/2019;0
QL001247051;KELURAHAN TANJUNG DUREN SELATAN;Sampah;Sampah Trotoar;complete;27/03/2019;27/03/2019;0
QL001247033;KELURAHAN JELAMBAR BARU;Sampah;Sampah Lingkungan;complete;27/03/2019;27/03/2019;0
QL001247029;KELURAHAN MAPHAR;Sampah;Sampah Lingkungan;complete;27/03/2019;27/03/2019;0
QL001246921;KELURAHAN JELAMBAR;Sampah;Sampah Got;complete;26/03/2019;26/03/2019;0
QL001246885;KELURAHAN GROGOL;Sampah;sampah kering dan iklan liar;complete;26/03/2019;26/03/2019;0
QL001246886;KELURAHAN GROGOL;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;26/03/2019;26/03/2019;0
QL001246857;KELURAHAN WIJAYA KUSUMA;Perizinan;Keluhan Proses Perijinan;complete;26/03/2019;26/03/2019;0
QL001246850;KELURAHAN PINANGSIA;Sampah;Sampah Ruang Publik;complete;26/03/2019;26/03/2019;0
QL001246849;KELURAHAN PINANGSIA;Sampah;Sampah Lingkungan;complete;26/03/2019;26/03/2019;0
QL001246848;KELURAHAN PINANGSIA;Sampah;Sampah Trotoar;complete;26/03/2019;26/03/2019;0
QL001246847;KELURAHAN PINANGSIA;Sampah;Sampah Lingkungan;complete;26/03/2019;26/03/2019;0
QL001246846;KELURAHAN PINANGSIA;Sampah;Sampah ikli tempel ;complete;26/03/2019;26/03/2019;0
QL001246841;KELURAHAN TANJUNG DUREN SELATAN;Sampah;Sampah Lingkungan;complete;26/03/2019;26/03/2019;0
QL001246840;KELURAHAN TANJUNG DUREN SELATAN;Sampah;Sampah Got;complete;26/03/2019;26/03/2019;0
QL001246839;KELURAHAN TANJUNG DUREN SELATAN;Sampah;Sampah Got;complete;26/03/2019;26/03/2019;0
QL001246838;KELURAHAN TANJUNG DUREN SELATAN;Sampah;Sampah Got;complete;26/03/2019;26/03/2019;0
QL001246837;KELURAHAN TANJUNG DUREN SELATAN;Sampah;Sampah Got;complete;26/03/2019;26/03/2019;0
QL001246835;KELURAHAN TANJUNG DUREN SELATAN;Sampah;Sampah Lingkungan;complete;26/03/2019;26/03/2019;0
QL001246836;KELURAHAN TANJUNG DUREN SELATAN;Sampah;Sampah Got;complete;26/03/2019;26/03/2019;0
QL001246797;KELURAHAN KALI DERES;Sampah;Sampah Lingkungan;complete;26/03/2019;26/03/2019;0
QL001246791;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;26/03/2019;26/03/2019;0
LP000012441;KELURAHAN TEGAL ALUR;Pencemaran lingkungan;keluhan asap pembakaran sampah ;complete;26/03/2019;26/03/2019;0
QL001246784;KELURAHAN JOGLO;Pohon;Izin Penebangan;complete;26/03/2019;26/03/2019;0
TW000012225;KELURAHAN GLODOK;Sampah;Sampah Trotoar;complete;26/03/2019;26/03/2019;0
QL001246771;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;26/03/2019;26/03/2019;0
QL001246763;KELURAHAN JELAMBAR;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;26/03/2019;26/03/2019;0
QL001246762;KELURAHAN CENGKARENG BARAT;Sampah;Sampah Lingkungan;complete;26/03/2019;26/03/2019;0
QL001246760;KELURAHAN JELAMBAR;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;26/03/2019;26/03/2019;0
QL001246758;KELURAHAN JELAMBAR;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;26/03/2019;26/03/2019;0
QL001246741;KELURAHAN JELAMBAR BARU;Sampah;Sampah Lingkungan;complete;26/03/2019;26/03/2019;0
QL001246740;KELURAHAN KALI DERES;Sampah;Sampah Ruang Publik;complete;26/03/2019;26/03/2019;0
QL001246739;KELURAHAN MAPHAR;Sampah;Sampah Got;complete;26/03/2019;26/03/2019;0
QL001246681;KELURAHAN PEGADUNGAN;Sampah;Sampah Lingkungan;complete;25/03/2019;25/03/2019;0
QL001246678;KELURAHAN CENGKARENG BARAT;Sampah;Rumput Liar Kecil;complete;25/03/2019;26/03/2019;1
BW000012587;KELURAHAN KEBON JERUK;Gangguan ketenteraman dan ketertiban;Pelanggaran Area Publik;complete;25/03/2019;25/03/2019;0
QL001246655;KELURAHAN SLIPI;Sampah;Sampah Lingkungan;complete;25/03/2019;25/03/2019;0
QL001246631;KELURAHAN TOMANG;Pohon;Pohon Tumbang;complete;25/03/2019;25/03/2019;0
QL001246627;KELURAHAN GROGOL;Sampah;Sampah Got;complete;25/03/2019;25/03/2019;0
QL001246624;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;25/03/2019;25/03/2019;0
QL001246620;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;25/03/2019;25/03/2019;0
QL001246592;KELURAHAN KAMAL;Sampah;Sampah Lingkungan;complete;25/03/2019;25/03/2019;0
QL001246589;KELURAHAN KAMAL;Sampah;Sampah Got;complete;25/03/2019;25/03/2019;0
QL001246571;KELURAHAN CENGKARENG TIMUR;Sampah;Sampah Got;complete;25/03/2019;25/03/2019;0
QL001246517;KELURAHAN KALIANYAR;Parkir liar;Parkir Liar Area Publik;complete;25/03/2019;25/03/2019;0
QL001246433;KELURAHAN MANGGA BESAR;Sampah;Sampah Trotoar;complete;24/03/2019;24/03/2019;0
QL001246376;KELURAHAN KOTA BAMBU SELATAN;Sampah;Sampah Trotoar;complete;24/03/2019;24/03/2019;0
QL001246374;KELURAHAN KOTA BAMBU SELATAN;Sampah;Sampah Got;complete;24/03/2019;24/03/2019;0
QL001246373;KELURAHAN KOTA BAMBU SELATAN;Pohon;sampah daun digot;complete;24/03/2019;24/03/2019;0
QL001246372;KELURAHAN KOTA BAMBU SELATAN;Pohon;sampah pohon;complete;24/03/2019;24/03/2019;0
QL001246369;KELURAHAN GLODOK;Sampah;Sampah Got;complete;24/03/2019;24/03/2019;0
QL001246336;KELURAHAN PAL MERAH;Saluran air/kali/sungai;;wait;27/03/2019;;0
QL001246335;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;24/03/2019;24/03/2019;0
QL001246333;KELURAHAN PINANGSIA;Sampah;Sampah Lingkungan;complete;24/03/2019;24/03/2019;0
QL001246329;KELURAHAN PINANGSIA;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;24/03/2019;24/03/2019;0
QL001246328;KELURAHAN PINANGSIA;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;24/03/2019;24/03/2019;0
QL001246327;KELURAHAN PINANGSIA;Sampah;Sampah Got;complete;24/03/2019;24/03/2019;0
QL001246325;KELURAHAN TOMANG;Konflik sosial;keluhan warga;complete;24/03/2019;24/03/2019;0
QL001246324;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;24/03/2019;24/03/2019;0
QL001246321;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;24/03/2019;24/03/2019;0
QL001246308;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;24/03/2019;24/03/2019;0
QL001246309;KELURAHAN PAL MERAH;Saluran air/kali/sungai;;wait;24/03/2019;;0
QL001246307;KELURAHAN PAL MERAH;Sampah;Rumput Liar Kecil;complete;24/03/2019;24/03/2019;0
QL001246286;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;24/03/2019;24/03/2019;0
QL001246268;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;24/03/2019;24/03/2019;0
QL001246266;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;24/03/2019;24/03/2019;0
QL001246267;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;24/03/2019;24/03/2019;0
QL001246262;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;24/03/2019;24/03/2019;0
QL001246264;KELURAHAN PAL MERAH;Gangguan ketenteraman dan ketertiban;Corli;complete;24/03/2019;24/03/2019;0
QL001246259;KELURAHAN PAL MERAH;Gangguan ketenteraman dan ketertiban;Corli;complete;24/03/2019;24/03/2019;0
QL001246261;KELURAHAN PAL MERAH;Gangguan ketenteraman dan ketertiban;Corli;complete;24/03/2019;24/03/2019;0
QL001246258;KELURAHAN PAL MERAH;Gangguan ketenteraman dan ketertiban;Ikli;complete;24/03/2019;24/03/2019;0
QL001246256;KELURAHAN PAL MERAH;Pelanggaran Perda/Pergub;Spanduk/iklan liar;complete;24/03/2019;24/03/2019;0
QL001246246;KELURAHAN GLODOK;Penyakit masyarakat;Pohon rindang;wait;24/03/2019;;0
QL001246242;KELURAHAN GLODOK;Penyakit masyarakat;Pohon rimbun;wait;24/03/2019;;0
QL001246240;KELURAHAN GLODOK;Penyakit masyarakat;Pohon rindang;wait;24/03/2019;;0
